date,Hotel_A,Hotel_B,Hotel_C
2024-01-01,133.6,167.17,148.91
2024-01-02,148.82,163.63,151.7
2024-01-03,151.24,158.62,145.49
2024-01-04,129.0,169.95,155.11
2024-01-05,135.07,160.39,147.96
2024-01-06,147.38,164.37,149.8
2024-01-07,144.68,156.23,164.85
2024-01-08,147.91,159.97,146.45
2024-01-09,142.03,154.67,136.29
2024-01-10,156.68,168.95,169.26
2024-01-11,156.62,152.37,177.53
2024-01-12,151.66,168.78,154.62
2024-01-13,160.84,161.69,143.06
2024-01-14,156.22,173.24,156.73
2024-01-15,146.23,170.5,157.55
2024-01-16,156.63,179.64,158.9
2024-01-17,146.55,171.46,152.05
2024-01-18,161.74,153.53,166.08
2024-01-19,154.76,166.02,166.09
2024-01-20,154.08,157.58,150.34
2024-01-21,150.46,163.16,168.24
2024-01-22,165.99,179.69,179.36
2024-01-23,155.22,172.95,164.57
2024-01-24,153.23,162.45,160.69
2024-01-25,153.98,160.08,162.39
2024-01-26,161.14,168.54,168.54
2024-01-27,159.84,158.57,149.8
2024-01-28,160.2,162.92,164.94
2024-01-29,160.27,170.71,160.43
2024-01-30,173.83,177.33,178.21
2024-01-31,153.26,172.77,161.85
2024-02-01,152.18,149.34,176.35
2024-02-02,149.48,169.82,153.89
2024-02-03,160.58,167.62,167.08
2024-02-04,164.3,169.97,164.55
2024-02-05,153.92,179.15,154.61
2024-02-06,147.63,149.23,162.5
2024-02-07,147.23,160.49,170.26
2024-02-08,158.46,169.37,157.4
2024-02-09,158.59,151.38,145.84
2024-02-10,156.34,175.19,158.59
2024-02-11,145.98,165.64,150.82
2024-02-12,152.44,168.75,154.58
2024-02-13,150.77,156.66,155.92
2024-02-14,150.81,166.96,142.14
2024-02-15,155.22,168.19,142.06
2024-02-16,149.21,160.68,158.01
2024-02-17,152.0,159.84,149.12
2024-02-18,146.25,159.26,131.92
2024-02-19,147.14,149.31,157.84
2024-02-20,148.99,154.15,152.85
2024-02-21,131.39,153.21,144.07
2024-02-22,139.58,156.6,138.34
2024-02-23,137.48,160.63,154.66
2024-02-24,135.23,143.26,149.87
2024-02-25,137.25,149.84,165.24
2024-02-26,150.52,161.81,148.66
2024-02-27,130.76,143.13,147.53
2024-02-28,144.58,141.65,142.23
2024-02-29,122.53,149.0,149.26
2024-03-01,132.5,153.32,146.91
2024-03-02,135.69,145.87,151.13
2024-03-03,138.31,155.64,136.18
2024-03-04,138.57,151.13,136.13
2024-03-05,138.53,150.3,135.08
2024-03-06,128.72,147.34,144.57
2024-03-07,127.18,160.89,149.6
2024-03-08,137.15,140.04,133.35
2024-03-09,128.21,125.1,133.08
2024-03-10,119.03,153.46,138.48
2024-03-11,119.71,136.51,133.55
2024-03-12,121.01,140.62,142.72
2024-03-13,131.98,149.87,116.72
2024-03-14,128.83,126.27,127.81
2024-03-15,132.96,128.81,127.91
2024-03-16,123.81,125.81,115.39
2024-03-17,128.34,132.11,126.09
2024-03-18,131.97,141.88,126.38
2024-03-19,124.45,142.51,132.04
2024-03-20,130.58,140.53,142.56
2024-03-21,121.69,127.08,131.76
2024-03-22,124.2,120.01,125.59
2024-03-23,124.22,139.1,133.55
2024-03-24,117.93,135.11,142.62
2024-03-25,131.66,142.83,126.69
2024-03-26,124.34,145.1,127.54
2024-03-27,128.57,140.96,139.67
2024-03-28,132.73,146.36,133.85
2024-03-29,132.93,142.58,141.27
2024-03-30,135.2,145.51,136.5
2024-03-31,129.65,136.19,142.78
2024-04-01,127.65,140.99,129.49
2024-04-02,131.04,144.64,138.31
2024-04-03,118.85,150.31,137.4
2024-04-04,121.49,141.3,130.07
2024-04-05,123.23,149.37,128.03
2024-04-06,126.6,143.84,146.8
2024-04-07,138.58,145.83,139.31
2024-04-08,128.96,154.23,134.76
2024-04-09,134.02,132.49,143.01
2024-04-10,148.3,138.93,153.66
2024-04-11,135.93,138.32,127.27
2024-04-12,145.57,132.39,134.43
2024-04-13,133.1,146.53,139.92
2024-04-14,139.82,158.85,159.89
2024-04-15,134.77,151.48,151.36
2024-04-16,140.56,156.24,156.14
2024-04-17,150.89,164.27,141.77
2024-04-18,131.23,167.06,142.83
2024-04-19,149.4,156.76,156.24
