date,hotel_id,adr,rooms_sold,revenue
2024-01-01,Hotel_A,133.6,46,6145.44
2024-01-02,Hotel_A,148.82,99,14733.32
2024-01-03,Hotel_A,151.24,106,16031.49
2024-01-04,Hotel_A,129.0,50,6449.96
2024-01-05,Hotel_A,135.07,74,9995.32
2024-01-06,Hotel_A,147.38,49,7221.67
2024-01-07,Hotel_A,144.68,85,12297.91
2024-01-08,Hotel_A,147.91,114,16861.81
2024-01-09,Hotel_A,142.03,46,6533.48
2024-01-10,Hotel_A,156.68,71,11124.16
2024-01-11,Hotel_A,156.62,117,18325.02
2024-01-12,Hotel_A,151.66,64,9706.11
2024-01-13,Hotel_A,160.84,50,8042.11
2024-01-14,Hotel_A,156.22,79,12341.63
2024-01-15,Hotel_A,146.23,80,11698.36
2024-01-16,Hotel_A,156.63,93,14566.96
2024-01-17,Hotel_A,146.55,65,9525.79
2024-01-18,Hotel_A,161.74,116,18762.13
2024-01-19,Hotel_A,154.76,81,12535.76
2024-01-20,Hotel_A,154.08,62,9553.09
2024-01-21,Hotel_A,150.46,116,17453.74
2024-01-22,Hotel_A,165.99,113,18756.9
2024-01-23,Hotel_A,155.22,79,12262.48
2024-01-24,Hotel_A,153.23,41,6282.26
2024-01-25,Hotel_A,153.98,87,13396.01
2024-01-26,Hotel_A,161.14,84,13535.81
2024-01-27,Hotel_A,159.84,51,8151.82
2024-01-28,Hotel_A,160.2,90,14417.78
2024-01-29,Hotel_A,160.27,107,17148.66
2024-01-30,Hotel_A,173.83,48,8343.65
2024-01-31,Hotel_A,153.26,97,14866.21
2024-02-01,Hotel_A,152.18,51,7761.12
2024-02-02,Hotel_A,149.48,99,14798.53
2024-02-03,Hotel_A,160.58,73,11722.41
2024-02-04,Hotel_A,164.3,40,6571.92
2024-02-05,Hotel_A,153.92,117,18008.58
2024-02-06,Hotel_A,147.63,53,7824.28
2024-02-07,Hotel_A,147.23,87,12808.72
2024-02-08,Hotel_A,158.46,54,8556.7
2024-02-09,Hotel_A,158.59,114,18079.03
2024-02-10,Hotel_A,156.34,99,15477.43
2024-02-11,Hotel_A,145.98,104,15182.18
2024-02-12,Hotel_A,152.44,74,11280.86
2024-02-13,Hotel_A,150.77,77,11609.21
2024-02-14,Hotel_A,150.81,90,13572.47
2024-02-15,Hotel_A,155.22,102,15832.59
2024-02-16,Hotel_A,149.21,107,15965.51
2024-02-17,Hotel_A,152.0,41,6232.18
2024-02-18,Hotel_A,146.25,93,13601.12
2024-02-19,Hotel_A,147.14,48,7062.81
2024-02-20,Hotel_A,148.99,63,9386.36
2024-02-21,Hotel_A,131.39,106,13926.87
2024-02-22,Hotel_A,139.58,60,8375.07
2024-02-23,Hotel_A,137.48,103,14160.16
2024-02-24,Hotel_A,135.23,77,10412.71
2024-02-25,Hotel_A,137.25,58,7960.29
2024-02-26,Hotel_A,150.52,66,9934.49
2024-02-27,Hotel_A,130.76,82,10722.64
2024-02-28,Hotel_A,144.58,101,14602.53
2024-02-29,Hotel_A,122.53,88,10782.77
2024-03-01,Hotel_A,132.5,114,15104.77
2024-03-02,Hotel_A,135.69,109,14789.77
2024-03-03,Hotel_A,138.31,100,13830.79
